Primary Authority	Organisation Name	Partnership Type	Regulatory Functions
London Fire and Emergency Planning Authority	BT Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bath and North East Somerset Council	Buckley and Beale Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Bunny Appliance Warehouse Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Staffordshire Fire & Rescue Service	BUPA Care Services	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Burger King	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Burger & Lobster Restaurant Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Burton's Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Staffordshire Fire & Rescue Service	Busy Bees Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lichfield District Council	Busy Bees Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lichfield District Council	Busy Bees Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Butchers Petcare Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Butterflies Healthcare Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Royal Borough of Greenwich	Byron Hamburgers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Caffè Nero Group Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	Caffè Nero Group Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cumbria County Council	Calder Foods (Manufacturing) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Huntingdonshire District Council	Cambridgeshire Catering & Cleaning Services (CCS)	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Cambridge Weight Plan Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Camelot Real Estate Management Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Islington	Cancer Research UK	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Horsham District Council	Cancer United	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Canners & Packers International Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	Cannon Tools Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Canon Europe Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Brent	Cantalis Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Cardiff Sports Nutrition Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	CARE MANAGEMENT GROUP LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	CARE MANAGEMENT GROUP LIMITED	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Essex Fire & Rescue Service	CareUK Community Partnerships Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Monmouthshire County Council	Carillion Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cumbria County Council	Carlisle Brass Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Carlsberg UK Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Carluccio's Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Car Shops Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Swindon Borough Council	Cartus Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oldham Metropolitan Borough Council	Cascade Holdings Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Casual Dining Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Caterers Choice Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wakefield Council	Caterers Choice Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Cater Link Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Cawingredients Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	CB Imports Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	CBRE Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of London	CB Richard Ellis Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	CDS Superstores Int Ltd T/As The Range Home and Leisure	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Central and Cecil Housing Trust	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Staffordshire County Council	Central England Cooperative Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lichfield District Council	Central England Cooperative Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Central Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Cereal Partners UK	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire Fire & Rescue Service	Certas Energy UK Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warrington Borough Council	Certas Energy UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lancaster City Council	Chameleon Bar & Dining	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	CHAMPAGNE VINS ET PRODUITS FINS DE LA PRINCESSE D'ISENBOURG ET CIE LTD	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oldham Metropolitan Borough Council	Character Options Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	Charity Retail Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Greater Manchester Fire & Rescue Service	Charity Retail Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	CH&CO Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridge City Council	Checkit Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Checkmate.uk.com ,a Divsion of Lockton Companies LLP	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	Chelford	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Cherry Active Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Islington	Cherry Red Productions Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
